,agent id,age,household id,destination,household_type,household_unique_id,household_community_id,household_building_id,household size,workplace_category,household contact
92,93,2,543807_24_900_2,19.0_768,2,543807,900,900_24,3,15.00,9.489592999
93,94,2,541545_4_900_2,17.0_427,2,541545,900,900_4,2,18.00,5.471835831
94,95,1,10309_94_3_1,school_108,1,10309,3,3_94,2,21.00,5.471835831
95,96,2,543811_24_900_2,20.0_7270,2,543811,900,900_24,4,15.00,9.167427867
96,97,1,7721_102_3_1,school_265,1,7721,3,3_102,2,21.00,5.471835831
97,98,2,5886_94_3_1,9.0_9644,1,5886,3,3_94,2,15.00,5.471835831
98,99,2,543250_12_900_2,16.0_8121,2,543250,900,900_12,2,3.00,5.471835831
99,100,2,545510_13_900_2,15.0_6466,2,545510,900,900_13,1,15.00,4.905552515
100,101,2,12057_6_3_1,15.0_6299,1,12057,3,3_6,1,16.00,4.905552515
101,102,2,546154_10_900_2,15.0_6003,2,546154,900,900_10,4,0.00,9.167427867
102,103,2,543538_4_900_2,3.0_2342,2,543538,900,900_4,1,9.00,4.905552515
103,104,2,6899_103_3_1,20.0_5123,1,6899,3,3_103,2,15.00,5.471835831
104,105,1,8599_65_3_1,school_179,1,8599,3,3_65,3,21.00,9.489592999
105,106,2,11037_17_3_1,8.0_23427,1,11037,3,3_17,2,2.00,5.471835831
106,107,2,9862_35_3_1,15.0_1428,1,9862,3,3_35,4,0.00,9.167427867
107,108,2,12718_103_3_1,15.0_4531,1,12718,3,3_103,4,0.00,9.167427867
108,109,1,9333_48_3_1,school_202,1,9333,3,3_48,3,21.00,9.489592999
109,110,3,7731_3_3_1,16.0_4616,1,7731,3,3_3,4,15.00,9.167427867
110,111,2,10643_24_3_1,18.0_8691,1,10643,3,3_24,2,8.00,5.471835831
111,112,2,11851_92_3_1,17.0_280,1,11851,3,3_92,3,18.00,9.489592999
112,113,2,546589_28_900_2,20.0_6370,2,546589,900,900_28,5,18.00,9.675564754
113,114,2,543888_3_900_2,15.0_3729,2,543888,900,900_3,4,15.00,9.167427867
114,115,2,545983_6_900_2,15.0_3849,2,545983,900,900_6,3,15.00,9.489592999
115,116,1,10256_42_3_1,school_248,1,10256,3,3_42,5,21.00,9.675564754
116,117,2,9131_107_3_1,15.0_4884,1,9131,3,3_107,3,3.00,9.489592999
117,118,2,11907_24_3_1,15.0_1286,1,11907,3,3_24,4,16.00,9.167427867
118,119,2,541682_29_900_2,8.0_23683,2,541682,900,900_29,4,20.00,9.167427867
119,120,2,543321_18_900_2,20.0_2175,2,543321,900,900_18,3,17.00,9.489592999
120,121,1,545359_19_900_2,school_107,2,545359,900,900_19,4,21.00,9.167427867
121,122,2,543961_28_900_2,3.0_2414,2,543961,900,900_28,2,0.00,5.471835831
122,123,1,544579_26_900_2,school_135,2,544579,900,900_26,3,21.00,9.489592999
123,124,2,7318_23_3_1,1.0_1513,1,7318,3,3_23,2,0.00,5.471835831
124,125,2,9972_13_3_1,20.0_9951,1,9972,3,3_13,2,0.00,5.471835831
125,126,2,546529_28_900_2,15.0_3831,2,546529,900,900_28,3,20.00,9.489592999
126,127,2,545612_30_900_2,15.0_7208,2,545612,900,900_30,1,20.00,4.905552515
127,128,2,541937_29_900_2,18.0_4548,2,541937,900,900_29,3,14.00,9.489592999
128,129,1,13631_4_3_1,school_7,1,13631,3,3_4,2,21.00,5.471835831
129,130,2,544804_15_900_2,15.0_3228,2,544804,900,900_15,4,15.00,9.167427867
130,131,2,546010_4_900_2,10.0_1962,2,546010,900,900_4,4,0.00,9.167427867
131,132,2,7199_71_3_1,18.0_9052,1,7199,3,3_71,5,15.00,9.675564754
132,133,2,8632_92_3_1,15.0_4561,1,8632,3,3_92,4,17.00,9.167427867
133,134,2,8176_74_3_1,20.0_3750,1,8176,3,3_74,5,16.00,9.675564754
134,135,2,7652_1_3_1,15.0_4495,1,7652,3,3_1,5,17.00,9.675564754
135,136,2,8664_74_3_1,18.0_32621,1,8664,3,3_74,2,0.00,5.471835831
136,137,1,9448_89_3_1,school_68,1,9448,3,3_89,2,21.00,5.471835831
137,138,2,10391_21_3_1,18.0_23113,1,10391,3,3_21,4,15.00,9.167427867
138,139,2,543711_24_900_2,20.0_6574,2,543711,900,900_24,2,15.00,5.471835831
139,140,1,8771_109_3_1,school_236,1,8771,3,3_109,4,21.00,9.167427867
140,141,2,545237_10_900_2,15.0_7392,2,545237,900,900_10,4,15.00,9.167427867
141,142,2,5893_91_3_1,9.0_5547,1,5893,3,3_91,3,0.00,9.489592999
142,143,2,6880_101_3_1,15.0_5195,1,6880,3,3_101,2,20.00,5.471835831
143,144,1,8012_3_3_1,school_90,1,8012,3,3_3,4,21.00,9.167427867
144,145,2,545449_17_900_2,15.0_2849,2,545449,900,900_17,4,0.00,9.167427867
145,146,2,544884_16_900_2,9.0_9493,2,544884,900,900_16,2,9.00,5.471835831
146,147,1,7137_53_3_1,school_140,1,7137,3,3_53,2,21.00,5.471835831
147,148,2,10614_58_3_1,16.0_9095,1,10614,3,3_58,2,0.00,5.471835831
148,149,2,9574_10_3_1,9.0_2251,1,9574,3,3_10,2,16.00,5.471835831
149,150,2,543852_2_900_2,15.0_1447,2,543852,900,900_2,4,7.00,9.167427867
150,151,2,6539_64_3_1,1.0_6193,1,6539,3,3_64,2,14.00,5.471835831
151,152,2,544327_11_900_2,15.0_3985,2,544327,900,900_11,3,8.00,9.489592999
152,153,2,6123_88_3_1,15.0_2950,1,6123,3,3_88,3,20.00,9.489592999
153,154,2,11274_59_3_1,20.0_4736,1,11274,3,3_59,1,15.00,4.905552515
154,155,2,13771_29_3_1,18.0_3285,1,13771,3,3_29,5,9.00,9.675564754
155,156,2,7745_94_3_1,15.0_4208,1,7745,3,3_94,4,15.00,9.167427867
156,157,2,12843_86_3_1,18.0_242,1,12843,3,3_86,3,15.00,9.489592999
157,158,1,12741_107_3_1,school_101,1,12741,3,3_107,4,21.00,9.167427867
158,159,2,6160_57_3_1,8.0_14644,1,6160,3,3_57,2,0.00,5.471835831
159,160,2,544987_22_900_2,15.0_4830,2,544987,900,900_22,4,8.00,9.167427867
160,161,2,545645_18_900_2,1.0_6313,2,545645,900,900_18,5,15.00,9.675564754
161,162,2,8296_32_3_1,9.0_25967,1,8296,3,3_32,2,20.00,5.471835831
162,163,2,543414_26_900_2,16.0_601,2,543414,900,900_26,2,9.00,5.471835831
163,164,2,541937_29_900_2,20.0_446,2,541937,900,900_29,3,18.00,9.489592999
164,165,2,7613_26_3_1,15.0_5973,1,7613,3,3_26,2,4.00,5.471835831
165,166,2,10655_21_3_1,8.0_15759,1,10655,3,3_21,2,18.00,5.471835831
166,167,2,6628_96_3_1,15.0_1657,1,6628,3,3_96,2,15.00,5.471835831
167,168,2,9850_84_3_1,7.0_116,1,9850,3,3_84,1,10.00,4.905552515
168,169,2,542435_28_900_2,20.0_4942,2,542435,900,900_28,3,0.00,9.489592999
169,170,2,12719_60_3_1,15.0_206,1,12719,3,3_60,4,1.00,9.167427867
170,171,2,544393_7_900_2,15.0_357,2,544393,900,900_7,1,15.00,4.905552515
171,172,2,546272_28_900_2,16.0_11362,2,546272,900,900_28,4,16.00,9.167427867
172,173,2,544424_30_900_2,15.0_238,2,544424,900,900_30,3,15.00,9.489592999
173,174,2,12420_71_3_1,2.0_22,1,12420,3,3_71,2,15.00,5.471835831
174,175,2,6207_58_3_1,17.0_1544,1,6207,3,3_58,4,15.00,9.167427867
175,176,2,544746_7_900_2,5.0_404,2,544746,900,900_7,2,20.00,5.471835831
176,177,2,542989_13_900_2,15.0_6931,2,542989,900,900_13,2,16.00,5.471835831
177,178,4,10312_93_3_1,9.0_22368,1,10312,3,3_93,3,18.00,9.489592999
178,179,2,13649_68_3_1,20.0_2950,1,13649,3,3_68,2,18.00,5.471835831
179,180,2,13576_38_3_1,3.0_80,1,13576,3,3_38,5,15.00,9.675564754
180,181,2,7590_61_3_1,17.0_1663,1,7590,3,3_61,5,17.00,9.675564754
181,182,2,11579_11_3_1,15.0_3610,1,11579,3,3_11,2,6.00,5.471835831
182,183,2,10857_51_3_1,15.0_459,1,10857,3,3_51,3,9.00,9.489592999
183,184,2,546179_10_900_2,15.0_1462,2,546179,900,900_10,5,20.00,9.675564754
184,185,1,544956_13_900_2,school_14,2,544956,900,900_13,4,21.00,9.167427867
185,186,2,8937_19_3_1,16.0_2570,1,8937,3,3_19,1,15.00,4.905552515
186,187,2,546542_22_900_2,18.0_10967,2,546542,900,900_22,1,15.00,4.905552515
187,188,2,544778_1_900_2,14.0_237,2,544778,900,900_1,3,5.00,9.489592999
188,189,2,12029_92_3_1,1.0_1703,1,12029,3,3_92,1,18.00,4.905552515
189,190,2,7957_1_3_1,17.0_1594,1,7957,3,3_1,2,4.00,5.471835831
190,191,2,543937_12_900_2,15.0_2850,2,543937,900,900_12,2,15.00,5.471835831
191,192,2,541508_9_900_2,15.0_3090,2,541508,900,900_9,3,17.00,9.489592999
192,193,2,10377_57_3_1,15.0_4770,1,10377,3,3_57,5,10.00,9.675564754
193,194,2,7530_92_3_1,19.0_1334,1,7530,3,3_92,3,8.00,9.489592999
194,195,2,543995_9_900_2,7.0_720,2,543995,900,900_9,3,9.00,9.489592999
195,196,2,546003_13_900_2,15.0_1842,2,546003,900,900_13,2,6.00,5.471835831
196,197,2,6744_27_3_1,20.0_5742,1,6744,3,3_27,5,8.00,9.675564754
197,198,2,11243_29_3_1,18.0_28937,1,11243,3,3_29,4,20.00,9.167427867
198,199,2,12231_55_3_1,18.0_28865,1,12231,3,3_55,3,3.00,9.489592999
199,200,2,545543_19_900_2,14.0_1099,2,545543,900,900_19,3,15.00,9.489592999
200,201,2,544900_13_900_2,8.0_895,2,544900,900,900_13,4,14.00,9.167427867
201,202,4,541722_28_900_2,10.0_1564,2,541722,900,900_28,1,9.00,4.905552515
202,203,2,7982_49_3_1,20.0_3955,1,7982,3,3_49,4,15.00,9.167427867
203,204,1,13567_71_3_1,school_217,1,13567,3,3_71,3,21.00,9.489592999
204,205,2,542380_21_900_2,10.0_1023,2,542380,900,900_21,2,7.00,5.471835831
205,206,2,546440_13_900_2,15.0_6518,2,546440,900,900_13,3,17.00,9.489592999
206,207,2,5954_50_3_1,18.0_19508,1,5954,3,3_50,3,15.00,9.489592999
207,208,2,542364_13_900_2,9.0_22879,2,542364,900,900_13,3,15.00,9.489592999
208,209,2,546567_15_900_2,20.0_1528,2,546567,900,900_15,3,15.00,9.489592999
209,210,4,544206_8_900_2,18.0_11170,2,544206,900,900_8,5,18.00,9.675564754
210,211,2,7727_12_3_1,4.0_895,1,7727,3,3_12,5,15.00,9.675564754
211,212,2,7816_48_3_1,20.0_47,1,7816,3,3_48,5,10.00,9.675564754
212,213,2,544295_14_900_2,20.0_3143,2,544295,900,900_14,1,8.00,4.905552515
213,214,2,7355_108_3_1,15.0_3609,1,7355,3,3_108,2,15.00,5.471835831
214,215,4,7315_89_3_1,16.0_5603,1,7315,3,3_89,2,15.00,5.471835831
215,216,2,541562_10_900_2,15.0_3223,2,541562,900,900_10,4,18.00,9.167427867
216,217,2,13243_63_3_1,15.0_875,1,13243,3,3_63,3,20.00,9.489592999
217,218,2,546385_16_900_2,15.0_6775,2,546385,900,900_16,2,6.00,5.471835831
218,219,2,11974_1_3_1,8.0_18564,1,11974,3,3_1,4,15.00,9.167427867
219,220,2,8380_105_3_1,15.0_4407,1,8380,3,3_105,4,15.00,9.167427867
220,221,2,545710_28_900_2,15.0_5218,2,545710,900,900_28,2,8.00,5.471835831
221,222,2,542602_10_900_2,20.0_3648,2,542602,900,900_10,3,17.00,9.489592999
222,223,2,8500_103_3_1,7.0_484,1,8500,3,3_103,3,15.00,9.489592999
223,224,2,11513_89_3_1,15.0_6191,1,11513,3,3_89,3,16.00,9.489592999
224,225,2,11081_25_3_1,15.0_4429,1,11081,3,3_25,2,17.00,5.471835831
225,226,2,12720_61_3_1,15.0_596,1,12720,3,3_61,3,18.00,9.489592999
226,227,2,10045_92_3_1,18.0_10852,1,10045,3,3_92,3,8.00,9.489592999
227,228,2,13757_29_3_1,15.0_2912,1,13757,3,3_29,5,15.00,9.675564754
228,229,2,6490_74_3_1,20.0_3549,1,6490,3,3_74,4,17.00,9.167427867
229,230,2,545262_14_900_2,17.0_2437,2,545262,900,900_14,2,17.00,5.471835831
230,231,2,8603_46_3_1,18.0_2406,1,8603,3,3_46,5,15.00,9.675564754
231,232,2,6727_21_3_1,18.0_25551,1,6727,3,3_21,4,19.00,9.167427867
232,233,2,9694_85_3_1,3.0_2556,1,9694,3,3_85,2,15.00,5.471835831
233,234,2,544083_25_900_2,15.0_1496,2,544083,900,900_25,3,15.00,9.489592999
234,235,2,9721_26_3_1,15.0_6865,1,9721,3,3_26,5,5.00,9.675564754
235,236,2,10191_45_3_1,15.0_1772,1,10191,3,3_45,2,14.00,5.471835831
236,237,2,544752_11_900_2,4.0_345,2,544752,900,900_11,1,10.00,4.905552515
237,238,2,11875_91_3_1,15.0_3653,1,11875,3,3_91,3,10.00,9.489592999
238,239,2,13068_89_3_1,14.0_20,1,13068,3,3_89,2,9.00,5.471835831
239,240,2,6112_96_3_1,15.0_5296,1,6112,3,3_96,3,15.00,9.489592999
240,241,2,12840_42_3_1,9.0_9281,1,12840,3,3_42,5,20.00,9.675564754
241,242,2,543724_4_900_2,18.0_17125,2,543724,900,900_4,4,15.00,9.167427867
242,243,2,544783_8_900_2,17.0_2997,2,544783,900,900_8,3,8.00,9.489592999
243,244,2,9708_19_3_1,5.0_73,1,9708,3,3_19,2,1.00,5.471835831
244,245,1,543050_25_900_2,school_266,2,543050,900,900_25,4,21.00,9.167427867
245,246,2,541585_20_900_2,18.0_19539,2,541585,900,900_20,4,18.00,9.167427867
246,247,2,7064_45_3_1,12.0_91,1,7064,3,3_45,3,0.00,9.489592999
247,248,2,545665_26_900_2,15.0_5198,2,545665,900,900_26,3,15.00,9.489592999
248,249,2,10398_95_3_1,4.0_338,1,10398,3,3_95,4,5.00,9.167427867
249,250,2,11740_60_3_1,20.0_3774,1,11740,3,3_60,3,1.00,9.489592999
250,251,2,545029_20_900_2,15.0_4512,2,545029,900,900_20,4,0.00,9.167427867
251,252,2,545691_18_900_2,18.0_8952,2,545691,900,900_18,3,0.00,9.489592999
252,253,4,546783_9_900_2,20.0_9557,2,546783,900,900_9,3,17.00,9.489592999
253,254,2,542101_7_900_2,18.0_13843,2,542101,900,900_7,4,15.00,9.167427867
254,255,4,13122_56_3_1,20.0_8305,1,13122,3,3_56,3,8.00,9.489592999
255,256,2,9361_52_3_1,20.0_7021,1,9361,3,3_52,2,17.00,5.471835831
256,257,2,9890_3_3_1,20.0_3819,1,9890,3,3_3,3,15.00,9.489592999
257,258,2,542847_12_900_2,15.0_6206,2,542847,900,900_12,5,9.00,9.675564754
258,259,2,11361_14_3_1,17.0_1533,1,11361,3,3_14,2,15.00,5.471835831
259,260,3,542340_4_900_2,1.0_6844,2,542340,900,900_4,2,20.00,5.471835831
260,261,2,7633_107_3_1,15.0_1127,1,7633,3,3_107,2,8.00,5.471835831
261,262,2,543922_14_900_2,9.0_12823,2,543922,900,900_14,2,15.00,5.471835831
262,263,2,544138_12_900_2,20.0_3071,2,544138,900,900_12,3,17.00,9.489592999
263,264,2,11052_77_3_1,3.0_562,1,11052,3,3_77,2,20.00,5.471835831
264,265,2,544481_8_900_2,20.0_7082,2,544481,900,900_8,2,15.00,5.471835831
265,266,2,11125_60_3_1,20.0_2316,1,11125,3,3_60,3,0.00,9.489592999
266,267,2,7050_45_3_1,8.0_30071,1,7050,3,3_45,4,15.00,9.167427867
267,268,2,543002_24_900_2,16.0_25,2,543002,900,900_24,2,18.00,5.471835831
268,269,2,12501_14_3_1,15.0_547,1,12501,3,3_14,2,18.00,5.471835831
269,270,2,541654_15_900_2,15.0_2311,2,541654,900,900_15,4,20.00,9.167427867
270,271,2,546399_21_900_2,2.0_171,2,546399,900,900_21,4,17.00,9.167427867
271,272,4,6517_66_3_1,9.0_15291,1,6517,3,3_66,4,15.00,9.167427867
272,273,2,541674_29_900_2,15.0_2993,2,541674,900,900_29,4,10.00,9.167427867
273,274,2,543105_8_900_2,15.0_2882,2,543105,900,900_8,3,15.00,9.489592999
274,275,2,13017_93_3_1,15.0_152,1,13017,3,3_93,4,0.00,9.167427867
275,276,2,6141_87_3_1,20.0_4286,1,6141,3,3_87,1,15.00,4.905552515
276,277,2,6946_1_3_1,20.0_6829,1,6946,3,3_1,1,17.00,4.905552515
277,278,2,546695_29_900_2,1.0_1167,2,546695,900,900_29,3,20.00,9.489592999
278,279,2,8000_9_3_1,16.0_5866,1,8000,3,3_9,2,15.00,5.471835831
279,280,1,12425_71_3_1,school_78,1,12425,3,3_71,3,21.00,9.489592999
280,281,1,8731_91_3_1,school_74,1,8731,3,3_91,1,21.00,4.905552515
281,282,2,11324_2_3_1,15.0_2039,1,11324,3,3_2,2,18.00,5.471835831
282,283,2,9234_3_3_1,14.0_1250,1,9234,3,3_3,2,17.00,5.471835831
283,284,2,6549_25_3_1,15.0_4204,1,6549,3,3_25,3,15.00,9.489592999
284,285,2,7962_61_3_1,20.0_9378,1,7962,3,3_61,3,8.00,9.489592999
285,286,2,542144_14_900_2,15.0_1283,2,542144,900,900_14,2,8.00,5.471835831
286,287,2,544994_28_900_2,20.0_6805,2,544994,900,900_28,3,4.00,9.489592999
287,288,2,545735_9_900_2,20.0_286,2,545735,900,900_9,4,15.00,9.167427867
288,289,2,541870_12_900_2,15.0_946,2,541870,900,900_12,2,16.00,5.471835831
289,290,2,5965_96_3_1,15.0_4945,1,5965,3,3_96,3,9.00,9.489592999
290,291,2,5982_52_3_1,15.0_1654,1,5982,3,3_52,3,16.00,9.489592999
291,292,2,13780_79_3_1,1.0_10444,1,13780,3,3_79,1,11.00,4.905552515
292,293,2,6392_7_3_1,15.0_5493,1,6392,3,3_7,1,3.00,4.905552515
293,294,2,545724_19_900_2,15.0_2950,2,545724,900,900_19,1,9.00,4.905552515
294,295,2,8646_58_3_1,15.0_4687,1,8646,3,3_58,2,15.00,5.471835831
295,296,2,546286_4_900_2,15.0_734,2,546286,900,900_4,2,0.00,5.471835831
296,297,1,543498_21_900_2,school_14,2,543498,900,900_21,4,21.00,9.167427867
297,298,4,544743_25_900_2,16.0_1955,2,544743,900,900_25,2,16.00,5.471835831
298,299,1,544228_8_900_2,school_222,2,544228,900,900_8,3,21.00,9.489592999
299,300,2,542548_27_900_2,18.0_34341,2,542548,900,900_27,3,0.00,9.489592999
300,301,2,11779_55_3_1,15.0_6201,1,11779,3,3_55,3,20.00,9.489592999
301,302,1,545490_11_900_2,school_59,2,545490,900,900_11,4,21.00,9.167427867
302,303,2,13320_89_3_1,7.0_1213,1,13320,3,3_89,3,15.00,9.489592999
303,304,2,10634_108_3_1,15.0_5635,1,10634,3,3_108,3,20.00,9.489592999
304,305,3,9678_63_3_1,4.0_1127,1,9678,3,3_63,2,14.00,5.471835831
305,306,2,545931_21_900_2,19.0_731,2,545931,900,900_21,5,18.00,9.675564754
306,307,2,10965_94_3_1,8.0_13613,1,10965,3,3_94,4,0.00,9.167427867
307,308,2,544022_23_900_2,20.0_896,2,544022,900,900_23,2,20.00,5.471835831
308,309,1,545030_19_900_2,school_71,2,545030,900,900_19,4,21.00,9.167427867
309,310,2,543556_21_900_2,15.0_2872,2,543556,900,900_21,2,8.00,5.471835831
310,311,2,13413_8_3_1,20.0_3624,1,13413,3,3_8,2,0.00,5.471835831
